codigo_producto,descripcion,mes,real,pronosticado,error_pct
26001,Bottle white/red 500 ml,2025-12,61.0,0.9029953124259364,-0.9851967981569518
26123,Bottle silver/black 750 ml,2025-12,32.0,0.1362946126948957,-0.9957407933532845
44052,Pre-Workout Booster Apple-Raspberry 256 g,2025-12,17.0,0.051435551170385944,-0.9969743793429185
6210,L-Glutamine 350 g,2025-12,17.0,0.09507660927390676,-0.9944072582780055
45203,Immunoguard Blackcurrant 10 x 4 g,2025-12,4.0,0.29210948251976365,-0.9269726293700591
12136,Electrolytes Berry 12 x 10 Tabs,2025-12,3.0,1.0721227392685693,-0.6426257535771436
12130,Electrolytes Fruitmix 12 x 10 Tabs,2025-12,2.0,0.7731132315435378,-0.6134433842282311
17222,Liquid Energy Pure 18 x 70 g,2025-12,2.0,0.3937215171979475,-0.8031392414010262
17507,Magnesium 375 Exotic 30 x 25 ml,2025-12,2.0,0.9669026802993206,-0.5165486598503397
45003,Mental Focus Herbs Berries 150 gr,2025-12,2.0,0.1381345324020752,-0.9309327337989624
17504,Activator 200 Fruit Boost 30 x 25 ml,2025-12,1.0,0.966122571219279,-0.033877428780720975
18101,Recovery Drink Strawberry-Banana 20 x 60 g,2025-12,1.0,0.30133580790837167,-0.6986641920916283
4616,Salt Caps 120 Caps,2025-12,1.0,1.1485658679081716,0.1485658679081716
8212,Competition Orange 800 g,2025-12,1.0,0.23820322520191034,-0.7617967747980896
8213,Competition Citrus 800 g,2025-12,1.0,0.36188211530636727,-0.6381178846936327
8216,Competition Fruitmix 800 g,2025-12,1.0,0.17637204300992884,-0.8236279569900712
1015,Electrolytes Fruitmix 10 Tabs,2025-12,0.0,0.07544523289524341,
10750,Crunchy Protein Raspberry 12 x 50 g,2025-12,0.0,0.125119199848928,
10752,Crunchy Protein Peanut-Caramel 12 x 50 g,2025-12,0.0,0.062155419064725353,
10755,Protein Crunchy Cookies Cream 15 x 50 g,2025-12,0.0,0.02895723049578771,
10757,Protein Crunchy Strawberry 15 x 50 g,2025-12,0.0,0.028696016398357838,
12100,Magnesium Plus Fruitmix 20 x 6.5 g,2025-12,0.0,0.13672305150475264,
12121,Low Carb Burner Wild Berries 20 x 6g,2025-12,0.0,0.12267596261350558,
12125,Lipox Burner Raspberry 110 g,2025-12,0.0,0.03959949084863601,
12132,Electrolytes Lemon 12 x 10 Tabs,2025-12,0.0,0.029962889038743945,
12134,Electrolytes Red Orange 12 x 10 Tabs,2025-12,0.0,0.6545861963464219,
12138,Electrolytes Cherry 12 x 10 Tabs,2025-12,0.0,0.7316481611153779,
1295,Activator 200 Cola-Lemon UNIDAD 25ml,2025-12,0.0,0.030423490722129305,
1297,High Energy Banana 45 g,2025-12,0.0,0.034148190472365,
1298,High Energy Berry 45 g,2025-12,0.0,0.034066047799971466,
1299,Liquid Energy BCAA Strawberry Banana 70 g,2025-12,0.0,0.02895723049578771,
13014,Carnitin 1000 Red Orange 400 g,2025-12,0.0,0.08166140163816571,
13016,Carnitin 1000 Lemon-Elderberry 400 g,2025-12,0.0,0.05393864062557714,
1302,Power Gums Sour 75 g UNIDAD,2025-12,0.0,0.02895723049578771,
1303,Power Gums Fruitmix 75 g UNIDAD,2025-12,0.0,0.02895723049578771,
1306,Carbo Fuel Blackcurrant 10 x 83g,2025-12,0.0,0.10793677190006376,
1307,Carbo Hydrogel Neutral 20 x 60 g,2025-12,0.0,0.25490948087982385,
1308,Carbo Hydrogel Mint 20 x 60g,2025-12,0.0,0.26651468419899305,
1309,Sport Biotics 90 caps,2025-12,0.0,0.02593702761012274,
14210,Oat Pack Macadamia & Chufas 30 x 60 g,2025-12,0.0,0.02593702761012274,
14218,Oat Pack Creamy Caramel 25 x 50 g,2025-12,0.0,0.24629856473795791,
15026,High Energy Salty + Nuts 30 x 45 g,2025-12,0.0,0.3154411019109812,
15030,High Energy Apricot-Vanilla 30 x 45 g,2025-12,0.0,0.3336994531328253,
15032,High Energy Berry 30 x 45 g,2025-12,0.0,0.13398261011302837,
15034,High Energy Banana 30 x 45 g,2025-12,0.0,0.3638300245081024,
15041,Energy Balls Blueberry 18 x 45 g,2025-12,0.0,0.11198344469407008,
15043,Energy Balls Mango 18 x 45 g,2025-12,0.0,0.1221591303404615,
15045,Energy Balls Salted Caramel 18 x 45 g,2025-12,0.0,0.02895723049578771,
17114,Liquid Energy Plus 40 x 35 g,2025-12,0.0,0.13991619670826463,
17115,Liquid Energy Ultra 40 x 25 g,2025-12,0.0,0.02593702761012274,
17143,Liquid Energy Salty 40 x 35 g,2025-12,0.0,0.039673350563204396,
17322,Liquid Energy Plus 18 x 70 g,2025-12,0.0,0.7338489960513523,
17323,Liquid Energy Plus Cola-Lemon 20 x 70 g,2025-12,0.0,0.03789318351347346,
17400,Liquid Energy BCAA Strawberry Banana 18 x 70 g,2025-12,0.0,0.6682275431104554,
17501,Carnitin 1000 Peach 30 x 25 ml,2025-12,0.0,0.20283158026381481,
17505,Mental Focus Grape-Cherry 5 x 25 ml,2025-12,0.0,0.02895723049578771,
17508,Activator 200 Cola-Lemon 30 x 25 ml,2025-12,0.0,0.04337345511989188,
17521,Caffeine Caps 90 Caps,2025-12,0.0,0.1355249707408722,
17700,Power Gums Fruitmix 20 x 75 g,2025-12,0.0,0.24824107410625046,
17704,Power Gums Cola 20 x 75 g,2025-12,0.0,0.1382870750967899,
17706,Power Gums Sour 20 x 75 g,2025-12,0.0,0.21082907168811696,
18100,Recovery Drink Strawberry-Banana 6 x 60,2025-12,0.0,0.02895723049578771,
18121,Recovery Drink Strawberry-Banana 1200 g,2025-12,0.0,0.09459999252325182,
20002,Creatine Monohydrate Pure 500 g,2025-12,0.0,0.6538119529039053,
21008,Soft Flask 500ml,2025-12,0.0,0.05067419113378471,
21010,Wave Shaker 600ml,2025-12,0.0,0.030070649222441525,
25002,Sponser Cap white with net,2025-12,0.0,0.02593702761012274,
26004,Bottle transparent/red 500 ml,2025-12,0.0,0.09084529522320904,
26005,Bottle pink/silver 500 ml,2025-12,0.0,0.10290481875773023,
26006,Bottle silver/black 500 ml,2025-12,0.0,0.06156651028522854,
26007,Bottle red/silver 500 ml,2025-12,0.0,0.04556480076158316,
26008,Bottle blue metallic/silver 500 ml,2025-12,0.0,0.16492781452597421,
26009,Bottle black/silver 500 ml,2025-12,0.0,0.1536286021120125,
26010,Bottle pink transparent/silver 500 ml,2025-12,0.0,0.035161050049709715,
26020,Pro bottle 500 ml white/red,2025-12,0.0,0.03862556476908572,
26093,Pro bottle 750 ml white/red,2025-12,0.0,0.03862556476908572,
26100,Bottle transparent/red 1000 ml,2025-12,0.0,0.11580973078905797,
26101,Bottle white/red 750 ml,2025-12,0.0,0.15518523196283715,
26104,Bottle white/red 1000 ml,2025-12,0.0,0.07546085277666212,
26107,Replacement Cap Bottles 500ml / 750ml,2025-12,0.0,0.031930432333291486,
26111,Bottle blue metallic/silver 750 ml,2025-12,0.0,0.029962889038743945,
26117,Bottle orange/silver 750 ml,2025-12,0.0,0.036736968943130936,
26121,Bottle red/silver 750 ml,2025-12,0.0,0.08846591058253495,
26124,Bottle black/silver 750 ml,2025-12,0.0,0.06452005669305935,
26127,Bottle transparent/red 750 ml,2025-12,0.0,0.0846435942835078,
26141,Bottle cyan blue/orange 750 ml,2025-12,0.0,0.029875289856538322,
26142,Bottle white/gold 750 ml,2025-12,0.0,0.03001965130160467,
26151,Bottle transparent / Hockey Cap 1000 ml,2025-12,0.0,0.029962889038743945,
2621,Cereal Energy Plus Cranberry 15 x 40 g,2025-12,0.0,0.12857719706823317,
2721,Cereal Energy Bar Strawberry 20 x 40 g,2025-12,0.0,0.11976489862486846,
3525,Recovery Shake Banana 900 g,2025-12,0.0,0.030452763012163445,
3527,Recovery Shake Vanilla 900 g,2025-12,0.0,0.040651460182682,
4004,Maltodextrin 100 Pure 900 g,2025-12,0.0,0.03616034483765436,
44017,Whey Isolate 94 Strawberry 1500 g,2025-12,0.0,0.02593702761012274,
44018,Whey Isolate 94 Vanilla 1500 g,2025-12,0.0,0.02593702761012274,
44019,Whey Isolate 94 Chocolate 1500 g,2025-12,0.0,0.02593702761012274,
44022,Amino 12500 Cherry 30 x 25 ml,2025-12,0.0,0.8124521480943372,
44031,Mass Gainer Vanilla 1200 g,2025-12,0.0,0.02859972949807385,
44033,Mass Gainer Chocolate 1200 g,2025-12,0.0,0.046240811294694366,
44056,HMB & Creatine Synergy Pure 320 g,2025-12,0.0,0.034562109352429676,
44060,Protein 50 Chocolate 20 x 70 g,2025-12,0.0,0.02593702761012274,
44071,Red Beet Vinitrox 4 x 60 ml,2025-12,0.0,0.08990854540605517,
44072,Nitroflow Performance 10 x 7 g,2025-12,0.0,0.11468250879574558,
4500,Carbo Loader Citrus-Orange 1200 g,2025-12,0.0,0.13563328378641332,
