fecha,codigo_producto,unidades_pronosticadas
2026-05-29,050304,0.03364257997843078
2026-05-29,07011,0.02927690592211305
2026-05-29,07013,0.04865970358364
2026-05-29,10750,0.06282042264419765
2026-05-29,10752,0.0
2026-05-29,10755,0.0
2026-05-29,10757,0.0
2026-05-29,10762,0.05984641520479297
2026-05-29,12100,0.14668517991498603
2026-05-29,12105,0.06953796933126535
2026-05-29,12121,0.06960771339572636
2026-05-29,12125,0.05415526747944556
2026-05-29,12130,0.4992585597388418
2026-05-29,12132,0.0
2026-05-29,12134,0.33355884091619226
2026-05-29,12136,0.670509619702118
2026-05-29,12138,0.45216125813889185
2026-05-29,1297,0.0
2026-05-29,1298,0.0
2026-05-29,1299,0.0
2026-05-29,13014,0.03922921030168507
2026-05-29,13016,0.0
2026-05-29,1302,0.0
2026-05-29,1303,0.0
2026-05-29,1306,0.05985314034207139
2026-05-29,1307,0.17735450273739778
2026-05-29,1308,0.17576128605141386
2026-05-29,1309,0.017059854496787076
2026-05-29,14210,0.0
2026-05-29,14218,0.09605209594066474
2026-05-29,15026,0.05134380839465972
2026-05-29,15030,0.14642468912637582
2026-05-29,15032,0.0
2026-05-29,15034,0.2378100049070192
2026-05-29,15041,0.06297342453151684
2026-05-29,15043,0.06995808653458248
2026-05-29,15045,0.009676609660124607
2026-05-29,17114,0.06072789730389324
2026-05-29,17115,0.0
2026-05-29,17143,0.0
2026-05-29,17222,0.41748927184700085
2026-05-29,17322,0.539766238923744
2026-05-29,17323,0.0
2026-05-29,17400,0.5724427443285302
2026-05-29,17501,0.21343021491937333
2026-05-29,17504,0.6430262314053111
2026-05-29,17505,0.0
2026-05-29,17507,0.6833115154630383
2026-05-29,17508,0.0
2026-05-29,17521,0.05964828680127314
2026-05-29,17700,0.09084826961809075
2026-05-29,17704,0.1024524615218451
2026-05-29,17706,0.11081146689864305
2026-05-29,18100,0.0
2026-05-29,18101,0.1053233259422025
2026-05-29,18121,0.09291662657723021
2026-05-29,191070,0.03364257997843078
2026-05-29,20002,0.3196743279485539
2026-05-29,21008,0.0
2026-05-29,21010,0.011813805775818158
2026-05-29,210377,0.03364257997843078
2026-05-29,26001,0.16463745227015955
2026-05-29,26004,0.0
2026-05-29,26005,0.07172797445152983
2026-05-29,26006,0.0
2026-05-29,26007,0.0
2026-05-29,26008,0.07396264480814187
2026-05-29,26009,0.07843566000986991
2026-05-29,26010,0.0
2026-05-29,26020,0.029564123913949025
2026-05-29,26093,0.0
2026-05-29,26100,0.0851543572725108
2026-05-29,26101,0.19903082079683804
2026-05-29,26104,0.0
2026-05-29,26107,0.0
2026-05-29,26111,0.0
2026-05-29,26117,0.0
2026-05-29,26121,0.0
2026-05-29,26123,0.1312202896320281
2026-05-29,26124,0.0
2026-05-29,26127,0.0
2026-05-29,26141,0.0
2026-05-29,26142,0.0
2026-05-29,26151,0.0
2026-05-29,2621,0.064680978478742
2026-05-29,2721,0.1049933484469412
2026-05-29,300675,0.03364257997843078
2026-05-29,3525,0.0
2026-05-29,3527,0.0
2026-05-29,4004,0.143242404732139
2026-05-29,44016,0.02927690592211305
2026-05-29,44017,0.0
2026-05-29,44018,0.0
2026-05-29,44019,0.0
2026-05-29,44022,0.512039635194398
2026-05-29,44031,0.0
2026-05-29,44033,0.0
2026-05-29,44052,0.034025744922582465
2026-05-29,44056,0.017904710854110637
2026-05-29,44060,0.0
2026-05-29,44068,0.04965597024870584
2026-05-29,44071,0.10933824635648404
2026-05-29,44072,0.13043382632947398
2026-05-29,4500,0.08569696441892229
2026-05-29,45002,0.0
2026-05-29,45003,0.03990165586283883
2026-05-29,45005,0.06034101008907632
2026-05-29,45006,0.1327618148398142
2026-05-29,4502,0.0788876448037496
2026-05-29,45117,0.020566074072801272
2026-05-29,45120,0.0
2026-05-29,45203,0.10495092445343754
2026-05-29,45207,0.08103436071449258
2026-05-29,45212,0.03573140932683605
2026-05-29,45215,0.0
