codigo_producto,daily_demand
4620,0.5114740737652587
4616,0.49936511967938946
12136,0.4972787772684629
17507,0.4879913233379831
17504,0.47034916809383787
17400,0.4314067084640402
17322,0.41021960147008996
8205,0.39756943453271953
44022,0.37986403332716157
12130,0.3686845531439042
17222,0.33079561912922917
12138,0.31897668809512814
12134,0.23818015504573928
20002,0.2326818930668503
8210,0.22570459277303326
8215,0.2250622782809333
26009,0.1929792787815293
8206,0.19253476140495424
8213,0.1835382906282027
44071,0.18169611118447462
15034,0.17957585316256414
26001,0.17439895774502898
26101,0.1614666991910053
8216,0.16022499396487563
17501,0.15673220608098729
44072,0.1508732840775806
8207,0.14526505732615144
12100,0.13990324943084156
4004,0.13932253334657466
8202,0.1366252245591227
15030,0.1319336790218509
45006,0.128044123473964
8222,0.11976568146659684
1308,0.119580232655619
1307,0.1182225358135406
45203,0.11637849974726479
8212,0.10880543125217507
45225,0.1074075625851317
18121,0.10204677906510888
8217,0.10160869729209501
17700,0.10127317885773929
17706,0.09968447666945338
14218,0.0993582509375926
18101,0.09485989349129499
15026,0.09416672047007228
8225,0.09410268784126485
45207,0.0922710329956716
17704,0.09126893253271443
6153,0.08670397433366445
4500,0.08633950286251879
2721,0.08334198532565594
45005,0.07973798632421263
26123,0.07546370613728787
7160,0.07288411767835831
4502,0.07266257876484757
7162,0.06916007616301348
4700,0.06823234114982715
17114,0.067549562971791
15043,0.06683410207553679
26005,0.06556351568612567
8143,0.06311489857672681
12121,0.06242287808824309
26100,0.06214736768997549
2621,0.061886799126536045
10750,0.05791501459862545
26008,0.05786485774716572
12105,0.057252942940304384
10762,0.05588395588339126
8154,0.05545244214353917
7002,0.054217423571932315
12125,0.05271022610794472
8118,0.052391410957665904
17521,0.05224238169929151
7715,0.05200696621096532
15041,0.05136985660076071
1306,0.04980186991481073
9302,0.049187211357267564
4706,0.04881466124566311
44068,0.04848959013087281
7161,0.046652115279702526
15045,0.04654671176423842
07013,0.045751357895770915
45003,0.04563511635481101
050304,0.04509376158167241
300675,0.04509376158167241
191070,0.04509376158167241
210377,0.04509376158167241
4622,0.04474578679718744
13014,0.03585330261149267
8123,0.0328799820151092
45212,0.032706488373622694
44052,0.031020796595488623
44016,0.02475000314752239
07011,0.02475000314752239
26020,0.022430092577151468
21010,0.021612449290352557
4614,0.01958798103420778
1309,0.018366375188481374
8029,0.01732302542223634
45117,0.017029450092510535
6210,0.016673653181325448
44056,0.015765050118941
10752,0.0
17115,0.0
15032,0.0
1303,0.0
14210,0.0
1298,0.0
1299,0.0
13016,0.0
1302,0.0
12132,0.0
1297,0.0
10755,0.0
10757,0.0
26142,0.0
26117,0.0
26111,0.0
26124,0.0
26104,0.0
26107,0.0
26004,0.0
21008,0.0
26007,0.0
17143,0.0
17323,0.0
17505,0.0
18100,0.0
17508,0.0
26010,0.0
26093,0.0
26006,0.0
26141,0.0
26127,0.0
26151,0.0
44060,0.0
44031,0.0
44033,0.0
3527,0.0
3525,0.0
44017,0.0
44018,0.0
44019,0.0
26121,0.0
45002,0.0
45120,0.0
45215,0.0
4703,0.0
6307,0.0
4710,0.0
4708,0.0
7154,0.0
7153,0.0
7152,0.0
7151,0.0
6304,0.0
7706,0.0
7716,0.0
8050,0.0
8169,0.0
8168,0.0
8166,0.0
8153,0.0
7707,0.0
8208,0.0
8170,0.0
8203,0.0
