codigo_producto,descripcion,mes,real,pronosticado,error_pct
26001,Bottle white/red 500 ml,2025-12,61.0,1.6841198485702624,-0.9723914778922907
26123,Bottle silver/black 750 ml,2025-12,32.0,0.3805219581007342,-0.9881086888093521
44052,Pre-Workout Booster Apple-Raspberry 256 g,2025-12,17.0,0.07831937828094618,-0.9953929777481797
6210,L-Glutamine 350 g,2025-12,17.0,0.05424986887384198,-0.9968088312427151
45203,Immunoguard Blackcurrant 10 x 4 g,2025-12,4.0,0.3457462846230961,-0.913563428844226
12136,Electrolytes Berry 12 x 10 Tabs,2025-12,3.0,1.8950026396549058,-0.36833245344836474
12130,Electrolytes Fruitmix 12 x 10 Tabs,2025-12,2.0,1.4369605176812192,-0.2815197411593904
17222,Liquid Energy Pure 18 x 70 g,2025-12,2.0,0.6907355838925212,-0.6546322080537395
17507,Magnesium 375 Exotic 30 x 25 ml,2025-12,2.0,1.6263210141726725,-0.18683949291366375
45003,Mental Focus Herbs Berries 150 gr,2025-12,2.0,0.14462040274485802,-0.927689798627571
17504,Activator 200 Fruit Boost 30 x 25 ml,2025-12,1.0,1.6261169714089259,0.6261169714089259
18101,Recovery Drink Strawberry-Banana 20 x 60 g,2025-12,1.0,0.36984170112493997,-0.63015829887506
4616,Salt Caps 120 Caps,2025-12,1.0,2.0419804032295072,1.0419804032295072
8212,Competition Orange 800 g,2025-12,1.0,0.23432044794152065,-0.7656795520584794
8213,Competition Citrus 800 g,2025-12,1.0,0.4690642565927534,-0.5309357434072466
8216,Competition Fruitmix 800 g,2025-12,1.0,0.22068216202302515,-0.7793178379769748
1015,Electrolytes Fruitmix 10 Tabs,2025-12,0.0,0.0,
10750,Crunchy Protein Raspberry 12 x 50 g,2025-12,0.0,0.13822038779639073,
10752,Crunchy Protein Peanut-Caramel 12 x 50 g,2025-12,0.0,0.0,
10755,Protein Crunchy Cookies Cream 15 x 50 g,2025-12,0.0,0.0,
10757,Protein Crunchy Strawberry 15 x 50 g,2025-12,0.0,0.0,
12100,Magnesium Plus Fruitmix 20 x 6.5 g,2025-12,0.0,0.25582789560872926,
12121,Low Carb Burner Wild Berries 20 x 6g,2025-12,0.0,0.14924090269279833,
12125,Lipox Burner Raspberry 110 g,2025-12,0.0,0.1641940080165294,
12132,Electrolytes Lemon 12 x 10 Tabs,2025-12,0.0,0.0,
12134,Electrolytes Red Orange 12 x 10 Tabs,2025-12,0.0,1.0489481122636382,
12138,Electrolytes Cherry 12 x 10 Tabs,2025-12,0.0,1.2924951886853346,
1295,Activator 200 Cola-Lemon UNIDAD 25ml,2025-12,0.0,0.0,
1297,High Energy Banana 45 g,2025-12,0.0,0.0,
1298,High Energy Berry 45 g,2025-12,0.0,0.0,
1299,Liquid Energy BCAA Strawberry Banana 70 g,2025-12,0.0,0.0,
13014,Carnitin 1000 Red Orange 400 g,2025-12,0.0,0.08959270870326379,
13016,Carnitin 1000 Lemon-Elderberry 400 g,2025-12,0.0,0.0,
1302,Power Gums Sour 75 g UNIDAD,2025-12,0.0,0.0,
1303,Power Gums Fruitmix 75 g UNIDAD,2025-12,0.0,0.0,
1306,Carbo Fuel Blackcurrant 10 x 83g,2025-12,0.0,0.1455036270264231,
1307,Carbo Hydrogel Neutral 20 x 60 g,2025-12,0.0,0.4253312606640115,
1308,Carbo Hydrogel Mint 20 x 60g,2025-12,0.0,0.355155061220725,
1309,Sport Biotics 90 caps,2025-12,0.0,0.07580170451813958,
14210,Oat Pack Macadamia & Chufas 30 x 60 g,2025-12,0.0,0.0,
14218,Oat Pack Creamy Caramel 25 x 50 g,2025-12,0.0,0.268188797201731,
15026,High Energy Salty + Nuts 30 x 45 g,2025-12,0.0,0.4096367195551206,
15030,High Energy Apricot-Vanilla 30 x 45 g,2025-12,0.0,0.5499739939675123,
15032,High Energy Berry 30 x 45 g,2025-12,0.0,0.0,
15034,High Energy Banana 30 x 45 g,2025-12,0.0,0.5355726074401286,
15041,Energy Balls Blueberry 18 x 45 g,2025-12,0.0,0.15225526277118046,
15043,Energy Balls Mango 18 x 45 g,2025-12,0.0,0.17832102336848882,
15045,Energy Balls Salted Caramel 18 x 45 g,2025-12,0.0,0.08765305962219808,
17114,Liquid Energy Plus 40 x 35 g,2025-12,0.0,0.1826156402577906,
17115,Liquid Energy Ultra 40 x 25 g,2025-12,0.0,0.0,
17143,Liquid Energy Salty 40 x 35 g,2025-12,0.0,0.0,
17322,Liquid Energy Plus 18 x 70 g,2025-12,0.0,1.0495605362713367,
17323,Liquid Energy Plus Cola-Lemon 20 x 70 g,2025-12,0.0,0.0,
17400,Liquid Energy BCAA Strawberry Banana 18 x 70 g,2025-12,0.0,1.490419071174228,
17501,Carnitin 1000 Peach 30 x 25 ml,2025-12,0.0,0.31272841517560246,
17505,Mental Focus Grape-Cherry 5 x 25 ml,2025-12,0.0,0.0,
