codigo_producto,descripcion,mes,real,pronosticado,error_pct
26001,Bottle white/red 500 ml,2025-12,61.0,1.0052601503307235,-0.9835203254044145
26123,Bottle silver/black 750 ml,2025-12,32.0,0.23632203616767233,-0.9926149363697603
44052,Pre-Workout Booster Apple-Raspberry 256 g,2025-12,17.0,0.10749211655412921,-0.9936769343203453
6210,L-Glutamine 350 g,2025-12,17.0,0.06553410795437303,-0.9961450524732721
45203,Immunoguard Blackcurrant 10 x 4 g,2025-12,4.0,0.3252773725250113,-0.9186806568687471
12136,Electrolytes Berry 12 x 10 Tabs,2025-12,3.0,1.4761496354868116,-0.5079501215043961
12130,Electrolytes Fruitmix 12 x 10 Tabs,2025-12,2.0,1.0476809415266692,-0.4761595292366654
17222,Liquid Energy Pure 18 x 70 g,2025-12,2.0,0.7032835774427626,-0.6483582112786187
17507,Magnesium 375 Exotic 30 x 25 ml,2025-12,2.0,1.2113589774276576,-0.3943205112861712
45003,Mental Focus Herbs Berries 150 gr,2025-12,2.0,0.14615671907027816,-0.9269216404648609
17504,Activator 200 Fruit Boost 30 x 25 ml,2025-12,1.0,1.1202918508571826,0.12029185085718264
18101,Recovery Drink Strawberry-Banana 20 x 60 g,2025-12,1.0,0.36927514062743316,-0.6307248593725668
4616,Salt Caps 120 Caps,2025-12,1.0,1.380995053635293,0.38099505363529307
8212,Competition Orange 800 g,2025-12,1.0,0.27913802070712707,-0.720861979292873
8213,Competition Citrus 800 g,2025-12,1.0,0.418542485649407,-0.581457514350593
8216,Competition Fruitmix 800 g,2025-12,1.0,0.31344364712436446,-0.6865563528756355
1015,Electrolytes Fruitmix 10 Tabs,2025-12,0.0,0.08718303890988444,
10750,Crunchy Protein Raspberry 12 x 50 g,2025-12,0.0,0.09903503449399204,
10752,Crunchy Protein Peanut-Caramel 12 x 50 g,2025-12,0.0,0.08632515774811625,
10755,Protein Crunchy Cookies Cream 15 x 50 g,2025-12,0.0,0.04298175362255173,
10757,Protein Crunchy Strawberry 15 x 50 g,2025-12,0.0,0.054287425315854204,
12100,Magnesium Plus Fruitmix 20 x 6.5 g,2025-12,0.0,0.2654355955916628,
12121,Low Carb Burner Wild Berries 20 x 6g,2025-12,0.0,0.1313340876193488,
12125,Lipox Burner Raspberry 110 g,2025-12,0.0,0.18889559694643873,
12132,Electrolytes Lemon 12 x 10 Tabs,2025-12,0.0,0.04694814476158152,
12134,Electrolytes Red Orange 12 x 10 Tabs,2025-12,0.0,0.6742671522970842,
12138,Electrolytes Cherry 12 x 10 Tabs,2025-12,0.0,0.9432451889548059,
1295,Activator 200 Cola-Lemon UNIDAD 25ml,2025-12,0.0,0.04565231969358638,
1297,High Energy Banana 45 g,2025-12,0.0,0.04298175362255173,
1298,High Energy Berry 45 g,2025-12,0.0,0.04298175362255173,
1299,Liquid Energy BCAA Strawberry Banana 70 g,2025-12,0.0,0.04298175362255173,
13014,Carnitin 1000 Red Orange 400 g,2025-12,0.0,0.11235754613480489,
13016,Carnitin 1000 Lemon-Elderberry 400 g,2025-12,0.0,0.07795728610568334,
1302,Power Gums Sour 75 g UNIDAD,2025-12,0.0,0.04298175362255173,
